,country,year,month,coal_perc,gas_perc,nuclear_perc,hydro_perc,wind_perc,solar_perc,renewables_perc,season,avg_temp_c,max_temp_c,min_temp_c,avg_sealevel_pressure_hpa,avg_daily_precipitation_mm,female_perc,male_perc,population_density,population_below_14_perc,population_above_65_perc,population_working_age_perc
2785,Portugal,2017,2,0.09567492959381357,0.11593812971292147,0.0,0.1147535327247037,0.13235655023099094,0.0051088549796602135,0.27918853859782766,Winter,12.236144578313253,23.8,-0.9,1020.6358490566038,4.815277777777777,52,48,112,13,21,66
2786,Portugal,2017,3,0.09296765737830169,0.1269519062707056,0.0,0.10581841769257593,0.1275853440266193,0.007555702043769167,0.2698100721078728,Spring,13.387500000000001,30.1,0.5,1023.2603773584906,2.4493055555555556,52,48,112,13,21,66
2787,Portugal,2017,4,0.12322291019329151,0.13150390047723837,0.0,0.07701232684258884,0.11288970091029098,0.011118784957945561,0.2330593907592362,Spring,16.19833333333333,31.9,-1.3,1017.2388888888889,2.3408163265306126,52,48,112,13,21,66
2788,Portugal,2017,5,0.13994304729050128,0.15807116662955875,0.0,0.06360094638180494,0.08943682745512181,0.010313257228896354,0.19100891802846942,Spring,18.413440860215054,37.6,1.8,1015.0967741935484,2.4050632911392404,52,48,112,13,21,66
2789,Portugal,2017,6,0.13289608960208785,0.18048510849324842,0.0,0.04917008747207836,0.08717173047680438,0.010816978054878393,0.17425978352468843,Summer,21.600558659217878,39.6,7.4,1020.4983050847458,0.5772727272727273,52,48,112,13,21,66
2790,Portugal,2017,7,0.12150887812287828,0.20043093549117783,0.0,0.03818009373884585,0.08904216635030568,0.010758830641683148,0.16537363397511384,Summer,22.617297297297295,39.4,7.4,1022.0543859649123,0.4679389312977099,52,48,112,13,21,66
2791,Portugal,2017,8,0.12285693019027559,0.20484304957042052,0.0,0.04117251291526024,0.08046657451378969,0.010256322895008345,0.1592527350888066,Summer,23.03675675675676,41.0,7.0,1019.2138888888888,0.7218978102189781,52,48,112,13,21,66
2792,Portugal,2017,9,0.1360329692393444,0.18123743018974015,0.0,0.03928344982538409,0.0909339478290368,0.010699670075226932,0.16928779662743323,Autumn,20.34413407821229,31.8,5.3,1021.0033333333333,0.47185185185185186,52,48,112,13,21,66
2793,Portugal,2017,10,0.14861337266302355,0.1634768534136815,0.0,0.038975365762465394,0.09165599999025689,0.00979645423843584,0.17283535482582363,Autumn,19.163636363636364,34.9,2.6,1021.5129032258066,1.2962686567164179,52,48,112,13,21,66
2794,Portugal,2017,11,0.12588640793917424,0.1716868801253371,0.0,0.047167681258375366,0.10709833359923084,0.006988633235115976,0.1902670874254668,Autumn,13.57877094972067,25.2,-3.8,1021.9,2.864814814814815,52,48,112,13,21,66
2795,Portugal,2017,12,0.11795130553348095,0.12517807909768422,0.0,0.06526413727865092,0.14384978257513514,0.005595750346315278,0.24474559166812582,Winter,11.35,18.1,-5.1,1026.1096774193547,4.262666666666666,52,48,112,13,21,66
2796,Romania,2015,1,0.13101668988970228,0.06749297852864311,0.08572422957217153,0.14856686397818852,0.0528500457866115,0.007172733074789648,0.21235761215501903,Winter,-0.47717121588089334,16.8,-27.7,1018.3964157706092,1.1154639175257732,51,49,86,15,16,69
2797,Romania,2015,2,0.11844191971974567,0.06101517576274988,0.08738329923898527,0.15599999679049087,0.05937541748693028,0.011296469178883195,0.2300782759158836,Winter,0.5214285714285714,16.8,-23.1,1017.8424489795918,1.3121212121212122,51,49,86,15,16,69
